loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
1,60,3,1,2,495.87,7500.0,0.066116,20.15,0,1,11,0,26044,0.637,22
1,36,3,0,1,183.32,5000.0,0.036663999999999995,23.1,0,0,10,0,29116,0.726,18
0,36,3,0,1,178.48,2833.3333333333335,0.06299294117647058,18.46,0,0,12,0,175,0.01,41
1,36,2,9,2,340.76,5906.0,0.057697257026752456,24.91,1,0,13,0,6344,0.324,56
1,36,3,6,1,327.34,7083.333333333333,0.04621270588235294,10.6,0,0,12,0,7147,0.237,46
1,36,2,9,1,296.2,2460.0,0.12040650406504065,20.65,0,1,8,1,11987,0.983,12
1,60,4,5,3,255.81,3000.0,0.08527,22.5,0,1,7,0,8066,0.5760000000000001,9
1,36,2,6,1,480.33,6666.666666666667,0.07204949999999999,16.21,0,0,8,0,11546,0.9620000000000001,11
0,36,3,3,1,283.2,4250.0,0.06663529411764706,24.82,0,1,12,0,7527,0.4,18
0,36,3,7,1,152.42,8500.0,0.017931764705882352,16.79,0,1,10,0,45450,0.782,25
1,36,2,0,2,189.91,1800.0,0.10550555555555555,18.17,0,1,6,0,10557,0.743,8
1,36,3,5,3,213.05,5833.333333333333,0.03652285714285715,11.3,0,1,16,0,4120,0.084,47
0,60,3,1,2,475.4,10333.0,0.046007935739862574,21.35,0,0,10,0,48258,0.8320000000000001,28
1,36,2,3,3,492.95,14583.333333333334,0.033802285714285715,3.31,0,0,5,0,1631,0.652,6
1,36,2,2,1,144.47,2666.6666666666665,0.05417625,3.49,0,3,3,0,3262,0.815,4
0,60,3,10,2,431.47,4083.3333333333335,0.10566612244897959,19.3,0,1,10,0,11106,0.542,15
1,36,2,10,2,386.7,3341.6666666666665,0.1157206982543641,24.27,0,1,12,0,15015,0.715,24
